Name,latitude,longitude,website_url,Address,map_url,phone,County ,place_id,zipcode
Embarcadero Club Apartments,33.62314,-84.460995,http://www.liveatembarcaderoclub.com/,"2210 Sullivan Rd, College Park, GA 30337, USA",https://maps.google.com/?cid=745545094070669731,(866) 591-3984,Fulton,ChIJaTaiAh_j9IgRoxEeIFC1WAo,30320
Alexandria Landing,33.618212,-84.4598244,,"2135 Godby Rd, Atlanta, GA 30349, USA",https://maps.google.com/?cid=8365294376187161626,(404) 762-6620,Fulton,ChIJ2-HJchjj9IgRGmw19ul-F3Q,30320
Bell Hartsfield,33.654695,-84.410599,http://www.bellapartmentliving.com/GA/Atlanta/Bell-Hartsfield/,"3640 S Fulton Ave, Atlanta, GA 30354, USA",https://maps.google.com/?cid=15605936835170116574,(404) 209-8770,Fulton,ChIJh_Eywm799IgR3qN_J95sk9g,30320
The Legacy Apartment Homes,33.6109225,-84.4377583,http://legacyapartmentliving.com/,"5239 Riverdale Rd, Atlanta, GA 30349, USA",https://maps.google.com/?cid=2196387773801206200,(770) 996-6812,Fulton,ChIJo8Ve28z89IgRuJFuFgsjex4,30320
West Cove,33.6114765,-84.4500374,,"5271 W Fayetteville Rd, College Park, GA 30349, USA",https://maps.google.com/?cid=12266162075284815143,(770) 991-3301,Fulton,ChIJcfnlGTrj9IgRJz24JmspOqo,30320
Princeton Court Apartments,33.656241,-84.4385811,http://www.liveatprincetoncourt.com/,"3633 Howard Dr, College Park, GA 30337, USA",https://maps.google.com/?cid=6798144992306009686,(404) 768-9332,Fulton,ChIJ543ZSbPi9IgRVhYANtrcV14,30320
Rugby Valley Apartments,33.6645759,-84.4593979,http://www.rugbyvalleyapts.com/,"2165 W Rugby Ave, College Park, GA 30337, USA",https://maps.google.com/?cid=7874453971512828637,(404) 209-9600,Fulton,ChIJFR8wgpji9IgR3aIvnCquR20,30320
Norsouth,33.6557356,-84.4383343,http://www.norsouth.com/,"1503 Temple Ave, College Park, GA 30337, USA",https://maps.google.com/?cid=1140533016691790621,(404) 768-4276,Fulton,ChIJ543ZSbPi9IgRHdOEYrz80w8,30320
Brookside Apartments,33.6063701,-84.4318552,http://www.lincolnapts.com/,"5420 Riverdale Rd, College Park, GA 30349, USA",https://maps.google.com/?cid=16369551741926259971,(770) 996-1377,Fulton,ChIJh3zVnsn89IgRAz3kZZRULOM,30320
Stonetree Apartments,33.6661898,-84.4682787,http://www.jamcoproperties.com/contact_leasing/21/Stonetree-Apartments,"2414 Stone Rd, East Point, GA 30344, USA",https://maps.google.com/?cid=646956761529912021,(888) 656-0342,Fulton,ChIJsewkYZvi9IgR1QoHNL9z-gg,30320
The Lexington Apartments,33.6716641,-84.4604825,http://www.jamcoproperties.com/property.jsp?catid=28,"3073 Washington Rd, East Point, GA 30344, USA",https://maps.google.com/?cid=6402005155421452170,(404) 761-6446,Fulton,ChIJ2e4G7J_i9IgRincdA8V92Fg,30320
Brookfield Apartments,33.6709775,-84.4590621,http://www.brookfieldapartmenthomes.com/,"3072 Washington Rd #17, East Point, GA 30344, USA",https://maps.google.com/?cid=4238770166742104655,(404) 692-7546,Fulton,ChIJVRJEJ6Di9IgRT7ovOQIj0zo,30320
Lakeside Apartment Townhomes,33.6028625,-84.4316726,http://www.jamcoproperties.com/contact_leasing/24/Lakeside-Apartment-Townhomes,"5577 Riverdale Rd, College Park, GA 30349, USA",https://maps.google.com/?cid=6570913132280535538,(770) 907-6856,Fulton,ChIJUWUlQLb89IgR8tmH-62SMFs,30320
Bullock Habersham Townhomes,33.666648,-84.465679,http://rjamesproperties.com/properties/bullock-habersham-townhomes/,"3251 Washington Rd, East Point, GA 30344, USA",https://maps.google.com/?cid=17036977863328965016,(404) 766-8391,Fulton,ChIJ9QrSBZzi9IgRmKHq1RmBb-w,30320
The Enclave at Riverdale Apartments,33.6030518,-84.4423393,http://theenclaveatriverdale.com/,"1507 Pine Dr, College Park, GA 30349, USA",https://maps.google.com/?cid=2127797992607580726,(770) 691-2399,Fulton,ChIJ2RTZS0rj9IgRNgIqLwB1hx0,30320
Dodson Courtyard Apartments,33.666798,-84.472547,http://rjamesproperties.com/properties/dodson-courtyard/,"3250 Dodson Drive Connector, East Point, GA 30344, USA",https://maps.google.com/?cid=8256735549094424828,(404) 767-5322,Fulton,ChIJVZQbfITi9IgR_PAcYDzRlXI,30320
Lakeside Reserve Apartments,33.6470381,-84.4856616,,"4001 Lakemont Dr, College Park, GA 30337, USA",https://maps.google.com/?cid=2019194408677902411,(404) 559-8177,Fulton,ChIJk7Y0_1vi9IgRS4iz1Z2eBRw,30320
Poplar Pointe Apartments,33.602254,-84.4510494,,"1875 E Pleasant Hill Rd, Atlanta, GA 30349, USA",https://maps.google.com/?cid=4136641100676233755,,Fulton,ChIJzfy9TUbj9IgRG3oWCSpNaDk,30320
New Village,33.675612,-84.417047,,"2905 Springdale Rd SW, Atlanta, GA 30315, USA",https://maps.google.com/?cid=7193879420401314537,(404) 228-2583,Fulton,ChIJiz4TV58C9YgR6WoD0jfL1WM,30320
Garden Court,33.6462036,-84.4884661,http://www.cflane.com/id/1925/garden-court-east-point--ga-30344,"4060 Janice Dr, East Point, GA 30344, USA",https://maps.google.com/?cid=6333381581996416955,(404) 762-7730,Fulton,ChIJ3ebLDVvi9IgRu9_lPf6w5Fc,30320
Camden Deerfield Apartments,34.104254,-84.266008,https://www.camdenliving.com/alpharetta-ga-apartments/camden-deerfield,"13200 Summit Blvd, Alpharetta, GA 30004, USA",https://maps.google.com/?cid=14409886711121908347,(770) 754-0700,Fulton,ChIJj63rRwGe9YgRexIL7p0z-sc,30004
IMT Deerfield,34.100915,-84.256342,http://www.imtresidential.com/imtDeerfield,"13125 Morris Rd, Alpharetta, GA 30004, USA",https://maps.google.com/?cid=9930373035205477691,(678) 367-0186,Fulton,ChIJqWc9Lwye9YgRO0WKgqnFz4k,30004
Stoneleigh at Deerfield Apartments,34.101888,-84.2490685,http://www.thestoneleighatdeerfieldapartments.com/,"1800 Deerfield Point, Alpharetta, GA 30004, USA",https://maps.google.com/?cid=15128983540118735834,(770) 569-2474,Fulton,ChIJxYHazXSe9YgR2kuCeV_y9NE,30004
The Lex- Alpharetta,34.078576,-84.315252,http://www.thelexapts.com/,"1000 Lexington Farm Dr, Alpharetta, GA 30004, USA",https://maps.google.com/?cid=7465757205304656094,(678) 554-4578,Fulton,ChIJuS4zmk109YgR3kB_eZ-ym2c,30004
Village of Devinshire Condos,34.0999838,-84.2648042,,"3301 Deerfield Pkwy, Alpharetta, GA 30004, USA",https://maps.google.com/?cid=8450079257576443800,(770) 475-7633,Fulton,ChIJiQhCrwSe9YgRmI-9d1C2RHU,30004
Deerfield Village Apartments,34.0981576,-84.256204,http://www.liveatdeerfieldvillage.com/,"13085 Morris Rd, Alpharetta, GA 30004, USA",https://maps.google.com/?cid=944232124876603405,(770) 569-8600,Fulton,ChIJ5Ro5bQ6e9YgRDUDIZB2WGg0,30004
The Lakes at Windward,34.0824037,-84.279557,,"905 Lake Union Hill Way, Alpharetta, GA 30004, USA",https://maps.google.com/?cid=1624100733072545809,(770) 751-1411,Fulton,ChIJhUbr3Y119YgREZg9CgP3iRY,30004
Saddle Creek Apartments,34.080957,-84.3183861,,"1465 Mid Broadwell Rd # 5000, Alpharetta, GA 30004, USA",https://maps.google.com/?cid=13290405379642145920,(770) 663-0054,Fulton,ChIJl3NnY0509YgRgLyC9kYBcbg,30004
Northpark Estates,34.1027306,-84.2646901,http://www.northparkwmp.com/,"13201 Deerfield Pkwy, Alpharetta, GA 30004, USA",https://maps.google.com/?cid=8733059418357540005,(770) 752-6300,Fulton,ChIJT6MrBwSe9YgRpaSUcUUPMnk,30004
Webb Bridge Crossing,34.0751264,-84.2785334,http://www.webbbridgecrossingapts.com/,"5000 Webb Bridge Ct, Alpharetta, GA 30009, USA",https://maps.google.com/?cid=17421535591913996838,(855) 814-7534,Fulton,ChIJqy3ke4V19YgRJsLbTVG6xfE,30004
Village of Devinshire Condominiums,34.1000075,-84.2648168,,"13100 Deerfield Pkwy, Milton, GA 30004, USA",https://maps.google.com/?cid=13483030742885326510,(770) 777-0505,Fulton,ChIJyUc3fgOe9YgRrt5ZRQZZHbs,30004
Handy Trac,34.138053,-84.241764,http://www.handytrac.com/,"510 Staghorn Ct, Alpharetta, GA 30004, USA",https://maps.google.com/?cid=6179809049628139173,(678) 990-2305,Fulton,ChIJmzETCLud9YgRpV7UrpYXw1U,30004
Haven at Avalon,34.0715653,-84.2787301,http://www.havenatavalon.com/,"1213 Avalon Blvd, Alpharetta, GA 30009, USA",https://maps.google.com/?cid=5197666142143441289,(770) 285-8585,Fulton,ChIJC6O7koR19YgRiemIX9HRIUg,30004
AMLI at Northwinds,34.0633594,-84.285294,http://www.amli.com/apartments/atlanta/North-Atlanta/Alpharetta/northwinds,"32000 Gardner Dr, Alpharetta, GA 30009, USA",https://maps.google.com/?cid=17128731646805197785,(888) 479-2936,Fulton,ChIJzWCCU5519YgR2cPQTK56te0,30004
Equity Residential,34.054129,-84.325337,http://www.equityapartments.com/,"11251 Alpharetta Hwy, Roswell, GA 30076, USA",https://maps.google.com/?cid=7486779202611400904,(770) 442-3130,Fulton,ChIJH_Guou109YgRyFBvowRi5mc,30004
AMLI North Point,34.036344,-84.309469,http://www.amli.com/apartments/atlanta/North-Atlanta/Alpharetta/north-point,"9000 Beaver Creek Rd, Alpharetta, GA 30022, USA",https://maps.google.com/?cid=11110628184283085991,(678) 971-2316,Fulton,ChIJu8rplSZ19YgRp_yii3fhMJo,30004
Gramercy Park | John Wieland Homes,34.0847537,-84.3226296,http://www.jwhomes.com/,"Gramercy Ln, Alpharetta, GA 30004, USA",https://maps.google.com/?cid=13854923408206636336,(770) 619-4325,Fulton,ChIJYcl2oEh09YgRMKVm6G6TRsA,30004
Cadence at Woodmont | John Wieland Homes and Neighborhoods | jwhomes.com,34.2411228,-84.352619,http://www.jwhomes.com/cadence,"193 Cadence Trail, Canton, GA 30115, USA",https://maps.google.com/?cid=3966513400360193640,(770) 479-0838,Fulton,ChIJW1WdyV969YgRaM5LEeziCzc,30004
IMT Deerfield,34.100915,-84.256342,http://www.imtresidential.com/imtDeerfield,"13125 Morris Rd, Alpharetta, GA 30004, USA",https://maps.google.com/?cid=9930373035205477691,(678) 367-0186,Fulton,ChIJqWc9Lwye9YgRO0WKgqnFz4k,30005
Wood Bridge Apartments,34.065184,-84.239718,http://www.woodbridgeaptsga.com/,"680 Park Bridge Pkwy, Alpharetta, GA 30005, USA",https://maps.google.com/?cid=4087303551260598454,(770) 663-7787,Fulton,ChIJJQhWkU2e9YgRtqAUpuwEuTg,30005
Waterstone At Big Creek Apartment Homes,34.108854,-84.226969,http://www.waterstoneatbigcreek.com/,"50 Estuary Trail, Alpharetta, GA 30005, USA",https://maps.google.com/?cid=13433706555731202359,(855) 373-7992,Fulton,ChIJ1dczIqN19YgRN9ExB_Acbro,30005
Alara Park Bridge,34.060109,-84.235174,http://www.alaraparkbridgeapts.com/,"15000 Parkview Ln, Alpharetta, GA 30005, USA",https://maps.google.com/?cid=6893158552271382034,(770) 346-9600,Fulton,ChIJI1VThayf9YgREuaUiC5rqV8,30005
The Pointe at Preston Ridge,34.0691069,-84.2565654,http://www.thepointeatprestonridge.com/,"950 Executive Dr, Alpharetta, GA 30005, USA",https://maps.google.com/?cid=7718210960528213597,(855) 653-4309,Fulton,ChIJP3rG1TOe9YgRXYbPy_mXHGs,30005
Stoneleigh at Deerfield Apartments,34.101888,-84.2490685,http://www.thestoneleighatdeerfieldapartments.com/,"1800 Deerfield Point, Alpharetta, GA 30004, USA",https://maps.google.com/?cid=15128983540118735834,(770) 569-2474,Fulton,ChIJxYHazXSe9YgR2kuCeV_y9NE,30005
Addison Place,34.0633668,-84.2088097,http://www.addisonapts.com/,"5100 Abbotts Bridge Rd, Alpharetta, GA 30005, USA",https://maps.google.com/?cid=12415522243676292408,(678) 393-2722,Fulton,ChIJlRLzA-Ge9YgROEVJS7PLTKw,30005
