"school_id","school_name","school_type","gradeRange","city","address","phone","fax","website","latitude","longitude","overview_url","ratings_url","reviews_url"
"746","Avondale Elementary School","public","PK-5","Avondale-Estates","8 Lakeshore Dr, Avondale Estates, GA  30002","(678) 676-5202","(678) 676-5210","http://www.avondalees.dekalb.k12.ga.us/","33.77341","-84.261604","http://www.greatschools.org/georgia/avondale-estates/746-Avondale-Elementary-School/?s_cid=gsapi","http://www.greatschools.org/school/rating.page?state=GA&id=746&s_cid=gsapi","http://www.greatschools.org/school/parentReviews.page?state=GA&id=746&s_cid=gsapi"
"6486","Dekalb School Of The Arts","public","8-12","Avondale-Estates","1192 Clarendon Ave, Avondale Estates, GA  30002","(678) 676-2502","(678) 676-2510","www.dsa.dekalb.k12.ga.us","33.76055","-84.26829","http://www.greatschools.org/georgia/avondale-estates/6486-Dekalb-School-Of-The-Arts/?s_cid=gsapi","http://www.greatschools.org/school/rating.page?state=GA&id=6486&s_cid=gsapi","http://www.greatschools.org/school/parentReviews.page?state=GA&id=6486&s_cid=gsapi"
"8588","Museum School Avondale Estates","charter","K-5","Avondale-Estates","3191 Covington Hwy, Avondale Estates, GA  30002","(404) 292-9760","","","33.77377","-84.25961","http://www.greatschools.org/georgia/avondale-estates/8588-Museum-School-Avondale-Estates/?s_cid=gsapi","http://www.greatschools.org/school/rating.page?state=GA&id=8588&s_cid=gsapi","http://www.greatschools.org/school/parentReviews.page?state=GA&id=8588&s_cid=gsapi"
"745","Chamblee Charter High School","charter","9-12","Chamblee","3688 Chamblee Dunwoody Rd, Chamblee, GA  30341","(678) 676-6902","(678) 676-6910","http://www.dekalb.k12.ga.us/chambleehs/","33.89781","-84.30733","http://www.greatschools.org/georgia/chamblee/745-Chamblee-Charter-High-School/?s_cid=gsapi","http://www.greatschools.org/school/rating.page?state=GA&id=745&s_cid=gsapi","http://www.greatschools.org/school/parentReviews.page?state=GA&id=745&s_cid=gsapi"
"6225","Chamblee Firs Tumc Kindergarten","private","K","Chamblee","4147 Chamblee Dunwoody Rd, Chamblee, GA  30341","(770) 457-2527","","","33.908886","-84.31006","http://www.greatschools.org/georgia/chamblee/6225-Chamblee-Firs-Tumc-Kindergarten/?s_cid=gsapi","http://www.greatschools.org/school/rating.page?state=GA&id=6225&s_cid=gsapi","http://www.greatschools.org/school/parentReviews.page?state=GA&id=6225&s_cid=gsapi"
"3792","Chamblee Middle School","public","6-8","Chamblee","3601 Sexton Woods Dr, Chamblee, GA  30341","(678) 874-8202","","","33.8968","-84.310974","http://www.greatschools.org/georgia/chamblee/3792-Chamblee-Middle-School/?s_cid=gsapi","http://www.greatschools.org/school/rating.page?state=GA&id=3792&s_cid=gsapi","http://www.greatschools.org/school/parentReviews.page?state=GA&id=3792&s_cid=gsapi"
"4331","Cross and Crown Day School","private","PK-5","Chamblee","4276 Chamblee Dunwoody Road, Chamblee, GA  30341","(770) 458-5274","(770) 458-7087","http://www.ccsga.org","33.914776","-84.315544","http://www.greatschools.org/georgia/chamblee/4331-Cross-And-Crown-Day-School/?s_cid=gsapi","http://www.greatschools.org/school/rating.page?state=GA&id=4331&s_cid=gsapi","http://www.greatschools.org/school/parentReviews.page?state=GA&id=4331&s_cid=gsapi"
"710","Dresden Elementary School","public","PK-5","Chamblee","2449 Dresden Dr, Chamblee, GA  30341","(678) 676-7202","(678) 676-7210","","33.86898","-84.29236","http://www.greatschools.org/georgia/chamblee/710-Dresden-Elementary-School/?s_cid=gsapi","http://www.greatschools.org/school/rating.page?state=GA&id=710&s_cid=gsapi","http://www.greatschools.org/school/parentReviews.page?state=GA&id=710&s_cid=gsapi"
"796","Henderson Middle School","public","6-8","Chamblee","2830 Henderson Mill Rd, Chamblee, GA  30341","(678) 874-2902","(678) 874-2910","","33.867214","-84.25278","http://www.greatschools.org/georgia/chamblee/796-Henderson-Middle-School/?s_cid=gsapi","http://www.greatschools.org/school/rating.page?state=GA&id=796&s_cid=gsapi","http://www.greatschools.org/school/parentReviews.page?state=GA&id=796&s_cid=gsapi"
"740","Huntley Hills Elementary School","public","PK-5","Chamblee","2112 Seaman Circle, Chamblee, GA  30341","(678) 676-7402","(678) 676-7410","","33.91184","-84.3031","http://www.greatschools.org/georgia/chamblee/740-Huntley-Hills-Elementary-School/?s_cid=gsapi","http://www.greatschools.org/school/rating.page?state=GA&id=740&s_cid=gsapi","http://www.greatschools.org/school/parentReviews.page?state=GA&id=740&s_cid=gsapi"
