"place_id","zipcode","place_type","place_name","latitude","longitude","website_url","property_address","map_url","phone"
"ChIJ0WpD2bni9IgR354FskwCraI","30320","church","College Park First United Methodist Church","33.6535736","-84.44856759999999","http://www.cpfirstumc.org/","3726 E. Main Street, College Park, GA 30337, USA","https://maps.google.com/?cid=11722027933542751967","(404) 766-6294"
"ChIJQZWnZLDi9IgRFeGVWd6atTc","30320","church","College Park Presbyterian Church","33.66458049999999","-84.43948519999999","http://collegeparkpc.co/","1540 Mercer Ave, College Park, GA 30337, USA","https://maps.google.com/?cid=4014284922647077141","(404) 767-4985"
"ChIJkfWyJVYd9YgRSGBeW6N9W5E","30320","church","East Point Church of Christ","33.67228489999999","-84.4453621","http://www.thelordsway.com/eastpointga/","3046 Church St, East Point, GA 30344, USA","https://maps.google.com/?cid=10474103498946273352","(404) 761-0643"
"ChIJFV3TFG_99IgROJ1dfSI0HAI","30320","church","Hapeville First United Methodist","33.6577668","-84.41046209999999","http://www.hapevilleumc.com/","3510 Atlanta Ave, Hapeville, GA 30354, USA","https://maps.google.com/?cid=152053810160573752","(404) 762-9677"
"ChIJz8jP2jTj9IgRVx7nl6nzk8Y","30320","church","Christian Fellowship Baptist","33.6072195","-84.43919389999999","http://cfbcnow.org/","1500 Norman Dr, Atlanta, GA 30349, USA","https://maps.google.com/?cid=14309048350809726551","(770) 997-4087"
"ChIJB5hH1k_i9IgRvNAeVIaFwbw","30320","church","Southwest Christian Church","33.6379685","-84.49116739999999","http://www.swchristianchurch.org/","4330 Washington Rd, Atlanta, GA 30344, USA","https://maps.google.com/?cid=13601299161619026108","(404) 766-1673"
"ChIJL29w61Md9YgRtH_AWKZe-0E","30320","church","Fellowship Group Baptist Church","33.678448","-84.44234","http://www.fbceastpoint.org/index.php?option=com_content&view=article&id=12&Itemid=118","2813 E Point St, Atlanta, GA 30344, USA","https://maps.google.com/?cid=4754497900166283188","(404) 762-9451"
"ChIJ2XptxKEC9YgR4cxu-4kd--8","30320","church","East Point Church","33.6744796","-84.4181614","http://epointchurch.org/","2950 Sylvan Rd, East Point, GA 30344, USA","https://maps.google.com/?cid=17292447672685219041","(678) 763-7302"
"ChIJ9W-TqX799IgRgirH9Oth4LM","30320","church","Church of Christ North Avenue","33.6648167","-84.40143209999999","http://church-of-christ.org/","3308 Old Jonesboro Rd, Hapeville, GA 30354, USA","https://maps.google.com/?cid=12961467393624189570","(404) 767-2494"
"ChIJmybjolEd9YgRHy92ROpNqCA","30320","church","East Point Church of the Nazarene","33.680582","-84.44487500000001","http://www.epconazarene.org/","2736 Cheney St, Atlanta, GA 30344, USA","https://maps.google.com/?cid=2353216473867366175","(404) 762-6417"
"ChIJmRLVfZ399IgRE6BE3_F2IFs","30320","church","St John's Catholic Church","33.6558758","-84.3985591","http://www.stjohnevangelist.net/","230 Arnold St, Hapeville, GA 30354, USA","https://maps.google.com/?cid=6566379037911195667","(404) 768-5647"
"ChIJq43KvGji9IgRSj8b7v8vWbw","30320","church","Faith Church of God","33.656111","-84.491417","","3140 Young Dr, East Point, GA 30344, USA","https://maps.google.com/?cid=13571931728315629386","(404) 762-7828"
"ChIJAzj-TrwC9YgRJjzcf3LJD6I","30320","church","St Matthew United Methodist Church","33.68561289999999","-84.42037999999999","","965 Winburn Dr, Atlanta, GA 30344, USA","https://maps.google.com/?cid=11677773852403579942","(404) 766-7408"
"ChIJAzj-TrwC9YgRwJHc8vzsQZc","30320","church","Redemption Community Church","33.68561289999999","-84.42037999999999","","965 Winburn Dr, Atlanta, GA 30344, USA","https://maps.google.com/?cid=10899253144363766208","(404) 766-7408"
"ChIJP3RBeI8C9YgRwl9DbdkxxgI","30320","book_store","LifeWay Christian Store","33.68179180000001","-84.40403929999999","http://www.lifeway.com/","441 Cleveland Ave SW, Atlanta, GA 30315, USA","https://maps.google.com/?cid=199902043375361986","(404) 767-7514"
"ChIJFXjLgKX89IgRY4GMrS4L9Jc","30320","church","Mt Zion Ame Church","33.589916","-84.42766999999999","http://netministries.org/see/churches.exe/ch31142","6045 Riverdale Rd, Atlanta, GA 30349, USA","https://maps.google.com/?cid=10949388889152586083","(770) 996-3244"
"ChIJp8RiI3Dj9IgReyH_5qGqjao","30320","church","World Changers Church International","33.5942658","-84.471538","http://www.worldchangers.org/","2500 Burdett Rd, College Park, GA 30349, USA","https://maps.google.com/?cid=12289666570505888123","(770) 210-5700"
