"school_id","school_name","school_type","gradeRange","city","address","phone","fax","website","latitude","longitude","overview_url","ratings_url","reviews_url"
"4003","Alpharetta Christian Academy","private","PK-5","Alpharetta","44 Academy Street, Alpharetta, GA  30009","(770) 475-5762","","","34.07621","-84.292564","http://www.greatschools.org/georgia/alpharetta/4003-Alpharetta-Christian-Academy/?s_cid=gsapi","http://www.greatschools.org/school/rating.page?state=GA&id=4003&s_cid=gsapi","http://www.greatschools.org/school/parentReviews.page?state=GA&id=4003&s_cid=gsapi"
"987","Alpharetta Elementary School","public","PK-5","Alpharetta","192 Mayfield Rd, Alpharetta, GA  30004","(770) 740-7015","(770) 667-2840","","34.08197","-84.30179","http://www.greatschools.org/georgia/alpharetta/987-Alpharetta-Elementary-School/?s_cid=gsapi","http://www.greatschools.org/school/rating.page?state=GA&id=987&s_cid=gsapi","http://www.greatschools.org/school/parentReviews.page?state=GA&id=987&s_cid=gsapi"
"3612","Alpharetta High School","public","9-12","Alpharetta","3595 Webb Bridge Rd, Alpharetta, GA  30005","(770) 521-7640","(770) 521-7653","","34.075787","-84.255646","http://www.greatschools.org/georgia/alpharetta/3612-Alpharetta-High-School/?s_cid=gsapi","http://www.greatschools.org/school/rating.page?state=GA&id=3612&s_cid=gsapi","http://www.greatschools.org/school/parentReviews.page?state=GA&id=3612&s_cid=gsapi"
"2334","Alpharetta International Academy","private","PK-4","Alpharetta","4772 Webb Bridge Road, Alpharetta, GA  30005","(770) 475-0558","","","34.06453","-84.22099","http://www.greatschools.org/georgia/alpharetta/2334-Alpharetta-International-Academy/?s_cid=gsapi","http://www.greatschools.org/school/rating.page?state=GA&id=2334&s_cid=gsapi","http://www.greatschools.org/school/parentReviews.page?state=GA&id=2334&s_cid=gsapi"
"3513","Alpharetta Methodist Christian","private","PK-6","Alpharetta","89 Cumming St, Alpharetta, GA  30004","(770) 518-1652","","","34.078907","-84.2919","http://www.greatschools.org/georgia/alpharetta/3513-Alpharetta-Methodist-Christian/?s_cid=gsapi","http://www.greatschools.org/school/rating.page?state=GA&id=3513&s_cid=gsapi","http://www.greatschools.org/school/parentReviews.page?state=GA&id=3513&s_cid=gsapi"
"3614","Amana Academy","charter","K-8","Alpharetta","285 South Main Street, Alpharetta, GA  30009","(678) 624-0989","(678) 624-0892","http://www.amanaacademy.org/","34.068466","-84.30014","http://www.greatschools.org/georgia/alpharetta/3614-Amana-Academy/?s_cid=gsapi","http://www.greatschools.org/school/rating.page?state=GA&id=3614&s_cid=gsapi","http://www.greatschools.org/school/parentReviews.page?state=GA&id=3614&s_cid=gsapi"
"3051","Autrey Mill Middle School","public","6-8","Alpharetta","4110 Old Alabama Rd, Alpharetta, GA  30022","(770) 521-7622","(770) 521-7622","","34.018826","-84.239624","http://www.greatschools.org/georgia/alpharetta/3051-Autrey-Mill-Middle-School/?s_cid=gsapi","http://www.greatschools.org/school/rating.page?state=GA&id=3051&s_cid=gsapi","http://www.greatschools.org/school/parentReviews.page?state=GA&id=3051&s_cid=gsapi"
"2948","Bridgeway Christian Academy","private","PK-8","Alpharetta","4755 Kimball Bridge Road, Alpharetta, GA  30005","(770) 751-1972","(678) 942-1159","http://bridgewayca.org/","34.0621","-84.222","http://www.greatschools.org/georgia/alpharetta/2948-Bridgeway-Christian-Academy/?s_cid=gsapi","http://www.greatschools.org/school/rating.page?state=GA&id=2948&s_cid=gsapi","http://www.greatschools.org/school/parentReviews.page?state=GA&id=2948&s_cid=gsapi"
"3016","Chandler Academy","private","PK, 1-8","Alpharetta","13580 Hopewell Rd, Alpharetta, GA  30004","(770) 346-0509","(770) 777-0023","http://www.chandleracademy.com/","34.115673","-84.294365","http://www.greatschools.org/georgia/alpharetta/3016-Chandler-Academy/?s_cid=gsapi","http://www.greatschools.org/school/rating.page?state=GA&id=3016&s_cid=gsapi","http://www.greatschools.org/school/parentReviews.page?state=GA&id=3016&s_cid=gsapi"
"1036","Chattahoochee High School","public","9-12","Alpharetta","5230 Taylor Rd, Alpharetta, GA  30022","(770) 521-7600","(770) 521-7659","","34.048985","-84.20806","http://www.greatschools.org/georgia/alpharetta/1036-Chattahoochee-High-School/?s_cid=gsapi","http://www.greatschools.org/school/rating.page?state=GA&id=1036&s_cid=gsapi","http://www.greatschools.org/school/parentReviews.page?state=GA&id=1036&s_cid=gsapi"
"3629","Cogburn Woods Elementary School","public","PK-5","Alpharetta","13080 Cogburn Rd, Alpharetta, GA  30004","(770) 667-2845","(770) 667-2854","","34.10465","-84.28271","http://www.greatschools.org/georgia/alpharetta/3629-Cogburn-Woods-Elementary-School/?s_cid=gsapi","http://www.greatschools.org/school/rating.page?state=GA&id=3629&s_cid=gsapi","http://www.greatschools.org/school/parentReviews.page?state=GA&id=3629&s_cid=gsapi"
"977","Crabapple Crossing Elementary School","public","PK-5","Alpharetta","12775 Birmingham Hwy, Alpharetta, GA  30004","(770) 740-7055","(770) 667-2841","","34.093243","-84.33769","http://www.greatschools.org/georgia/alpharetta/977-Crabapple-Crossing-Elementary-School/?s_cid=gsapi","http://www.greatschools.org/school/rating.page?state=GA&id=977&s_cid=gsapi","http://www.greatschools.org/school/parentReviews.page?state=GA&id=977&s_cid=gsapi"
"3969","Crabapple Montessori School","private","PK-6","Alpharetta","12387 Crabapple Road, Alpharetta, GA  30004","(770) 569-5200","(770) 569-5291","www.crabapplemontessori.com","34.083904","-84.35457","http://www.greatschools.org/georgia/alpharetta/3969-Crabapple-Montessori-School/?s_cid=gsapi","http://www.greatschools.org/school/rating.page?state=GA&id=3969&s_cid=gsapi","http://www.greatschools.org/school/parentReviews.page?state=GA&id=3969&s_cid=gsapi"
"2595","Creek View Elementary School","public","PK-5","Alpharetta","3995 Webb Bridge Rd, Alpharetta, GA  30005","(770) 667-2932","(770) 667-2936","","34.074154","-84.24198","http://www.greatschools.org/georgia/alpharetta/2595-Creek-View-Elementary-School/?s_cid=gsapi","http://www.greatschools.org/school/rating.page?state=GA&id=2595&s_cid=gsapi","http://www.greatschools.org/school/parentReviews.page?state=GA&id=2595&s_cid=gsapi"
